tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,fBodyGyro-min()-X,fBodyGyro-min()-Y,fBodyGyro-min()-Z,fBodyGyro-meanFreq()-X,fBodyGyro-meanFreq()-Y,fBodyGyro-meanFreq()-Z,"angle(X,gravityMean)","angle(Y,gravityMean)","angle(Z,gravityMean)",Activity
0.28858451,-0.020294171,-0.13290514,-0.99756862,-0.9840851,-0.99433541,-0.25754888,0.097947109,0.54715105,-0.84124676,0.17994061,-0.058626924,5
0.27841883,-0.016410568,-0.12352019,-0.98689184,-0.99905355,-0.99441373,-0.048167435,-0.40160791,-0.068178329,-0.8447876,0.18028889,-0.054316717,5
0.27965306,-0.019467156,-0.11346169,-0.98831166,-0.99723271,-0.99363603,-0.21668507,-0.017264171,-0.11072029,-0.84893347,0.18063731,-0.049117815,5
0.27917394,-0.026200646,-0.12328257,-0.98970064,-0.99434379,-0.9931436,0.21686246,-0.13524536,-0.049727978,-0.84864938,0.18193476,-0.047663183,5
0.27662877,-0.016569655,-0.11536185,-0.9937381,-0.99372533,-0.99483517,-0.15334258,-0.088402726,-0.16223039,-0.84786525,0.18515116,-0.043892254,5
0.27719877,-0.01009785,-0.10513725,-0.99936094,-0.99784518,-0.98160068,-0.36303968,-0.13323831,0.19483324,-0.84963158,0.18482251,-0.042126383,5
0.27945388,-0.019640776,-0.11002215,-0.99997402,-0.9944008,-0.99330583,-0.30712543,-0.34567235,-0.079245503,-0.85215025,0.18216997,-0.043009987,5
0.27743247,-0.030488303,-0.12536043,-0.99580286,-0.99488144,-0.99296719,-0.088135904,-0.20811515,-0.075989386,-0.85101671,0.18377851,-0.041975833,5
0.27729342,-0.021750698,-0.12075082,-0.99940033,-0.98155042,-0.98705495,-0.1840546,0.17672726,0.21279994,-0.84797148,0.18898248,-0.037363927,5
0.28058569,-0.009960298,-0.10606516,-0.99878888,-0.99127092,-0.98750732,-0.17276785,-0.2490848,-0.060978402,-0.84829438,0.19031033,-0.034417291,5
